contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,contract_type,exp_date,current_price,mid_price,bid_ask_diff,moneyness,days_to_exp,T
AMZN260130P00217500,2026-01-29 16:15:28+00:00,217.5,0.05,0.04,0.05,-0.02,-28.571428,419.0,2795,0.57617611328125,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.045,0.010000000000000002,1.0991724474676725,0,0.0
AMZN260130P00220000,2026-01-29 16:21:08+00:00,220.0,0.06,0.05,0.06,-0.010000002,-11.111112,323.0,6342,0.5312546875,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.055,0.009999999999999995,1.0866818514737215,0,0.0
AMZN260130P00222500,2026-01-29 16:13:14+00:00,222.5,0.09,0.07,0.08,0.0,0.0,567.0,4898,0.49609878906250005,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.07500000000000001,0.009999999999999995,1.0744719430301966,0,0.0
AMZN260130P00225000,2026-01-29 16:23:38+00:00,225.0,0.1,0.1,0.11,-0.009999998,-9.090907,1134.0,6263,0.45508357421875,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.10500000000000001,0.009999999999999995,1.0625333658854166,0,0.0
AMZN260130P00227500,2026-01-29 16:22:31+00:00,227.5,0.16,0.16,0.17,-0.010000005,-5.8823557,830.0,5668,0.41992767578125,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.165,0.010000000000000009,1.050857175051511,0,0.0
AMZN260130P00230000,2026-01-29 16:22:11+00:00,230.0,0.27,0.25,0.26,0.02000001,8.000004,2768.0,7527,0.38233039550781245,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.255,0.010000000000000009,1.039434814453125,0,0.0
AMZN260130P00232500,2026-01-29 16:23:41+00:00,232.5,0.49,0.5,0.51,0.09,22.5,5220.0,5447,0.36817038085937503,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.505,0.010000000000000009,1.028258096018145,0,0.0
AMZN260130P00235000,2026-01-29 16:23:45+00:00,235.0,1.0,0.98,1.0,0.26,34.666668,12478.0,7868,0.36255520263671875,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.99,0.020000000000000018,1.0173191801030586,0,0.0
AMZN260130P00237500,2026-01-29 16:23:30+00:00,237.5,1.86,1.84,1.88,0.72,63.157894,8156.0,8208,0.36914693359375,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,1.8599999999999999,0.039999999999999813,1.0066105571546053,0,0.0
AMZN260130P00240000,2026-01-29 16:22:43+00:00,240.0,3.25,3.2,3.25,1.37,72.87234,8876.0,5566,0.3918517846679687,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,3.225,0.04999999999999982,0.9961250305175782,0,0.0
AMZN260130P00242500,2026-01-29 16:23:14+00:00,242.5,5.1,4.95,5.05,2.1499999,72.88135,2832.0,3143,0.42847251220703125,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,5.0,0.09999999999999964,0.9858557003060567,0,0.0
AMZN260130P00245000,2026-01-29 16:20:54+00:00,245.0,7.08,6.9,7.4,3.0,73.52941,1072.0,4605,0.5210008837890624,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,7.15,0.5,0.9757959482621174,0,0.0
AMZN260130P00247500,2026-01-29 16:03:58+00:00,247.5,10.55,9.15,10.0,4.8500004,85.08773,68.0,692,0.5647016186523439,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,9.575,0.8499999999999996,0.965939423532197,0,0.0
AMZN260130P00250000,2026-01-29 15:59:19+00:00,250.0,12.64,11.4,12.75,5.53,77.77778,200.0,872,0.6586948193359375,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,12.075,1.3499999999999996,0.956280029296875,0,0.0
